number,sci_name,sex,predicted_attractiveness_sex_model,sd_sex_model
5908,Gymnoris pyrgita,unknown,4.4361,0.0612
5909,Gymnoris superciliaris,unknown,4.9331,0.0692
5910,Gymnoris xanthocollis,male,5.2922,0.0627
5911,Gymnoris xanthocollis,unknown,5.2418,0.0557
5912,Gypaetus barbatus,unknown,6.1474,0.0689
5913,Gypohierax angolensis,unknown,5.335,0.0572
5914,Gyps africanus,unknown,5.8338,0.0649
5915,Gyps bengalensis,unknown,5.6148,0.07
5916,Gyps coprotheres,unknown,5.5923,0.0558
5917,Gyps fulvus,unknown,5.8907,0.0565
5918,Gyps himalayensis,unknown,5.8819,0.0654
5919,Gyps indicus,unknown,5.3792,0.0479
5920,Gyps rueppelli,unknown,6.4316,0.0709
5921,Gyps tenuirostris,unknown,5.7197,0.0416
5922,Habia atrimaxillaris,unknown,5.9955,0.0498
5923,Habia cristata,unknown,6.7459,0.0716
5924,Habia fuscicauda,unknown,5.6937,0.0584
5925,Habia gutturalis,male,6.5716,0.0698
5926,Habia gutturalis,unknown,6.1038,0.0664
5927,Habia rubica,male,6.4818,0.078
5928,Habia rubica,unknown,6.4744,0.0677
5929,Haematoderus militaris,unknown,6.3337,0.0703
5930,Haematopus ater,unknown,5.7516,0.0551
5931,Haematopus bachmani,unknown,5.6858,0.0578
5932,Haematopus chathamensis,unknown,6.1173,0.0493
5933,Haematopus finschi,unknown,6.4543,0.0756
5934,Haematopus fuliginosus,unknown,6.2921,0.0615
5935,Haematopus leucopodus,unknown,6.3155,0.061
5936,Haematopus longirostris,unknown,6.4033,0.0734
5937,Haematopus moquini,unknown,6.3512,0.0713
5938,Haematopus ostralegus,unknown,6.1836,0.0681
5939,Haematopus palliatus,unknown,5.6895,0.0363
5940,Haematopus unicolor,unknown,5.6417,0.056
5941,Haematortyx sanguiniceps,unknown,5.1933,0.0564
5942,Haemorhous cassinii,male,6.7712,0.0691
5943,Haemorhous cassinii,unknown,6.3944,0.0677
5944,Haemorhous mexicanus,male,6.3507,0.0307
5945,Haemorhous mexicanus,unknown,6.6931,0.0653
5946,Haemorhous purpureus,male,6.6833,0.053
5947,Haemorhous purpureus,unknown,6.8483,0.0837
5948,Hafferia fortis,male,5.5202,0.0322
5949,Hafferia fortis,unknown,6.1259,0.0452
5950,Hafferia immaculata,female,6.035,0.032
5951,Hafferia immaculata,male,5.9827,0.0439
5952,Hafferia immaculata,unknown,6.2043,0.0591
