number,sci_name,sex,predicted_attractiveness_sex_model,sd_sex_model
1995,Campylorhynchus rufinucha,unknown,5.7297,0.0546
1996,Campylorhynchus turdinus,unknown,5.4781,0.0708
1997,Campylorhynchus yucatanicus,unknown,5.4137,0.0519
1998,Campylorhynchus zonatus,unknown,5.5518,0.0561
1999,Canirallus oculeus,unknown,4.297,0.1099
2000,Cantorchilus elutus,unknown,5.2959,0.0531
2001,Cantorchilus griseus,unknown,5.235,0.0471
2002,Cantorchilus guarayanus,unknown,5.4418,0.0539
2003,Cantorchilus leucopogon,unknown,5.5303,0.0556
2004,Cantorchilus leucotis,unknown,5.4417,0.0575
2005,Cantorchilus longirostris,unknown,5.3079,0.0585
2006,Cantorchilus modestus,unknown,5.725,0.0566
2007,Cantorchilus nigricapillus,unknown,6.0726,0.0687
2008,Cantorchilus semibadius,unknown,5.7696,0.0658
2009,Cantorchilus superciliaris,unknown,5.2548,0.0483
2010,Cantorchilus thoracicus,unknown,5.396,0.0562
2011,Cantorchilus zeledoni,female,5.7393,0.0639
2012,Cantorchilus zeledoni,male,5.5818,0.0341
2013,Cantorchilus zeledoni,unknown,5.3348,0.0516
2014,Capito auratus,male,6.5983,0.0599
2015,Capito auratus,unknown,6.8447,0.0818
2016,Capito aurovirens,female,6.7247,0.076
2017,Capito aurovirens,male,6.3965,0.0562
2018,Capito aurovirens,unknown,6.5313,0.065
2019,Capito brunneipectus,male,6.4631,0.059
2020,Capito brunneipectus,unknown,5.041,0.0702
2021,Capito dayi,male,6.3773,0.0518
2022,Capito dayi,unknown,6.5975,0.0704
2023,Capito hypoleucus,male,6.8513,0.0741
2024,Capito hypoleucus,unknown,6.0461,0.076
2025,Capito maculicoronatus,male,6.7572,0.0656
2026,Capito maculicoronatus,unknown,6.4555,0.0679
2027,Capito niger,male,6.682,0.0648
2028,Capito niger,unknown,6.4514,0.0788
2029,Capito quinticolor,unknown,5.8728,0.0633
2030,Capito squamatus,unknown,6.456,0.0709
2031,Capito wallacei,male,6.9578,0.0703
2032,Capito wallacei,unknown,7.6569,0.138
2033,Caprimulgus aegyptius,unknown,5.9499,0.0518
2034,Caprimulgus affinis,male,5.716,0.0222
2035,Caprimulgus affinis,unknown,6.2289,0.0706
2036,Caprimulgus andamanicus,unknown,5.8434,0.0576
2037,Caprimulgus asiaticus,unknown,5.5598,0.051
2038,Caprimulgus atripennis,unknown,5.8667,0.0521
2039,Caprimulgus binotatus,unknown,5.327,0.0651
2040,Caprimulgus celebensis,unknown,5.632,0.0555
2041,Caprimulgus clarus,unknown,5.9115,0.0485
2042,Caprimulgus climacurus,unknown,5.6627,0.0579
2043,Caprimulgus concretus,unknown,4.4415,0.0709
2044,Caprimulgus donaldsoni,male,5.738,0.0546
2045,Caprimulgus donaldsoni,unknown,5.8887,0.0641
2046,Caprimulgus europaeus,female,5.7986,0.0255
2047,Caprimulgus europaeus,male,5.75,NA
2048,Caprimulgus europaeus,unknown,5.8384,0.0606
2049,Caprimulgus eximius,unknown,5.4614,0.048
2050,Caprimulgus fossii,unknown,5.4177,0.054
2051,Caprimulgus fraenatus,unknown,5.5321,0.0502
2052,Caprimulgus indicus,unknown,5.7918,0.0569
2053,Caprimulgus inornatus,unknown,5.8344,0.0619
2054,Caprimulgus jotaka,unknown,5.9363,0.0659
2055,Caprimulgus longipennis,male,5.7478,0.0484
2056,Caprimulgus longipennis,unknown,5.2906,0.0506
2057,Caprimulgus macrurus,unknown,5.7716,0.0587
2058,Caprimulgus madagascariensis,unknown,5.9748,0.0577
2059,Caprimulgus mahrattensis,unknown,5.4417,0.0545
2060,Caprimulgus manillensis,unknown,5.7618,0.0538
2061,Caprimulgus meesi,unknown,5.0103,0.0703
2062,Caprimulgus natalensis,unknown,6.1858,0.0695
2063,Caprimulgus nigriscapularis,unknown,5.4737,0.0552
2064,Caprimulgus nubicus,unknown,5.7223,0.0567
2065,Caprimulgus pectoralis,unknown,5.8164,0.0559
2066,Caprimulgus phalaena,unknown,5.1207,0.0613
2067,Caprimulgus poliocephalus,unknown,4.9543,0.0493
2068,Caprimulgus pulchellus,male,5.2226,0.0428
2069,Caprimulgus pulchellus,unknown,5.5509,0.0703
2070,Caprimulgus ruficollis,unknown,6.1449,0.0457
2071,Caprimulgus rufigena,unknown,5.1253,0.0532
2072,Caprimulgus ruwenzorii,unknown,5.0798,0.0711
2073,Caprimulgus stellatus,male,5.7694,0.0387
2074,Caprimulgus stellatus,unknown,5.7396,0.0476
2075,Caprimulgus tristigma,unknown,5.5143,0.0548
2076,Caprimulgus vexillarius,male,5.8572,0.077
2077,Caprimulgus vexillarius,unknown,5.9533,0.059
2078,Capsiempis flaveola,unknown,5.7468,0.0658
2079,Caracara cheriway,unknown,6.3617,0.0685
2080,Caracara plancus,unknown,6.2427,0.0589
2081,Cardellina canadensis,male,7.1661,0.0699
2082,Cardellina canadensis,unknown,6.6685,0.0915
2083,Cardellina pusilla,male,7.2249,0.0912
2084,Cardellina pusilla,unknown,7.1653,0.0906
2085,Cardellina rubra,unknown,7.3718,0.0862
2086,Cardellina rubrifrons,unknown,6.7735,0.0823
2087,Cardellina versicolor,unknown,7.0317,0.0852
2088,Cardinalis cardinalis,unknown,7.0457,0.0885
2089,Cardinalis phoeniceus,female,7.0251,0.0805
2090,Cardinalis phoeniceus,unknown,6.934,0.0934
2091,Cardinalis sinuatus,male,6.9138,0.0815
2092,Cardinalis sinuatus,unknown,6.6719,0.0713
2093,Carduelis carduelis,male,6.081,0.0306
2094,Carduelis carduelis,unknown,7.2263,0.0803
2095,Carduelis citrinella,male,5.7529,0.0993
2096,Carduelis citrinella,unknown,5.7441,0.0462
2097,Carduelis corsicana,female,5.2877,0.0407
2098,Carduelis corsicana,unknown,6.1424,0.065
2099,Cariama cristata,unknown,5.1508,0.052
2100,Caridonax fulgidus,unknown,6.8011,0.0988
2101,Carpococcyx radiceus,unknown,5.5793,0.0577
2102,Carpococcyx renauldi,unknown,5.8918,0.0534
2103,Carpococcyx viridis,unknown,4.96,0.0523
2104,Carpodacus davidianus,female,5.7286,0.0458
2105,Carpodacus davidianus,male,5.8201,0.0376
2106,Carpodacus davidianus,unknown,6.1341,0.0693
2107,Carpodacus dubius,female,6.141,0.0313
2108,Carpodacus dubius,male,6.4058,0.0618
2109,Carpodacus dubius,unknown,6.6807,0.074
2110,Carpodacus edwardsii,female,5.5119,0.0335
2111,Carpodacus edwardsii,male,5.928,0.0287
2112,Carpodacus edwardsii,unknown,6.0105,0.0685
2113,Carpodacus erythrinus,male,6.3243,0.0477
2114,Carpodacus erythrinus,unknown,5.8888,0.0529
2115,Carpodacus formosanus,female,5.4933,0.0573
2116,Carpodacus formosanus,male,6.2786,0.0615
2117,Carpodacus formosanus,unknown,6.8727,0.0987
2118,Carpodacus grandis,unknown,5.8089,0.0535
2119,Carpodacus pulcherrimus,female,5.8002,0.058
2120,Carpodacus pulcherrimus,male,5.1637,0.0362
2121,Carpodacus pulcherrimus,unknown,6.222,0.0618
2122,Carpodacus puniceus,female,4.9385,0.107
2123,Carpodacus puniceus,male,6.4332,0.0595
2124,Carpodacus puniceus,unknown,6.1097,0.0649
2125,Carpodacus rhodochlamys,female,5.2681,0.0576
2126,Carpodacus rhodochlamys,unknown,5.8297,0.0511
2127,Carpodacus roborowskii,male,6.385,0.0696
2128,Carpodacus roborowskii,unknown,5.7585,0.0637
2129,Carpodacus rodochroa,unknown,6.2758,0.0808
2130,Carpodacus rodopeplus,female,5.4845,0.0534
2131,Carpodacus rodopeplus,male,6.2478,0.0798
2132,Carpodacus rodopeplus,unknown,5.9898,0.0524
2133,Carpodacus roseus,male,6.8803,0.0982
2134,Carpodacus roseus,unknown,7.1245,0.0743
2135,Carpodacus rubicilla,female,5.4882,0.0545
2136,Carpodacus rubicilla,male,6.6096,0.0634
2137,Carpodacus rubicilla,unknown,6.2225,0.0503
2138,Carpodacus rubicilloides,male,6.0572,0.0719
2139,Carpodacus rubicilloides,unknown,6.5804,0.0881
2140,Carpodacus sibiricus,male,6.3336,0.066
2141,Carpodacus sibiricus,unknown,6.5685,0.074
2142,Carpodacus sillemi,unknown,4.9384,0.0635
2143,Carpodacus sipahi,female,5.7915,0.0462
2144,Carpodacus sipahi,male,6.9986,0.0766
2145,Carpodacus sipahi,unknown,6.7063,0.0647
2146,Carpodacus stoliczkae,male,5.774,NA
2147,Carpodacus stoliczkae,unknown,6.1664,0.0681
2148,Carpodacus subhimachalus,male,6.4023,0.0663
2149,Carpodacus subhimachalus,unknown,6.2962,0.0616
2150,Carpodacus synoicus,male,6.4484,0.0519
2151,Carpodacus synoicus,unknown,5.7233,0.0465
2152,Carpodacus thura,female,5.7643,0.0302
2153,Carpodacus thura,male,6.9455,0.0628
2154,Carpodacus thura,unknown,6.5988,0.0712
2155,Carpodacus trifasciatus,female,5.6678,0.0375
2156,Carpodacus trifasciatus,male,5.7917,0.0423
2157,Carpodacus trifasciatus,unknown,6.2253,0.079
2158,Carpodacus verreauxii,female,4.463,0.0718
2159,Carpodacus verreauxii,male,5.7478,0.0728
2160,Carpodacus verreauxii,unknown,5.9616,0.046
2161,Carpodacus vinaceus,female,5.7035,0.0459
2162,Carpodacus vinaceus,male,6.2123,0.1288
2163,Carpodacus vinaceus,unknown,5.7042,0.056
2164,Carpodacus waltoni,male,6.6391,0.0719
2165,Carpodacus waltoni,unknown,6.052,0.0609
2166,Carpodectes antoniae,female,6.4409,0.085
2167,Carpodectes antoniae,unknown,5.4268,0.0572
2168,Carpodectes hopkei,male,6.2468,0.0386
2169,Carpodectes hopkei,unknown,6.5395,0.0708
2170,Carpodectes nitidus,female,6.1185,0.0065
2171,Carpodectes nitidus,male,6.7224,0.0479
2172,Carpodectes nitidus,unknown,6.239,0.072
2173,Carpornis cucullata,unknown,6.4125,0.0692
2174,Carpornis melanocephala,male,5.6171,0.0683
2175,Carpornis melanocephala,unknown,5.8636,0.0514
2176,Carpospiza brachydactyla,unknown,4.9875,0.0574
2177,Carterornis castus,unknown,5.6427,0.0695
2178,Carterornis chrysomela,unknown,6.6579,0.0771
2179,Carterornis leucotis,unknown,6.3023,0.0484
2180,Carterornis pileatus,male,6.1605,0.0604
2181,Carterornis pileatus,unknown,6.1318,0.0791
2182,Caryothraustes canadensis,unknown,6.3958,0.0701
2183,Caryothraustes poliogaster,unknown,6.2606,0.0612
2184,Casiornis fuscus,unknown,5.6201,0.0675
2185,Casiornis rufus,unknown,6.3947,0.071
2186,Cassiculus melanicterus,male,6.9943,0.0598
2187,Cassiculus melanicterus,unknown,7.0079,0.075
2188,Castanozoster thoracicus,unknown,6.3699,0.0541
2189,Casuarius bennetti,unknown,5.2618,0.0493
2190,Casuarius casuarius,unknown,5.574,0.0499
2191,Casuarius unappendiculatus,unknown,5.6034,0.0655
2192,Catamblyrhynchus diadema,unknown,6.2472,0.0649
2193,Catamenia analis,male,5.8615,0.065
2194,Catamenia analis,unknown,5.794,0.0557
2195,Catamenia homochroa,male,5.7918,0.059
2196,Catamenia homochroa,unknown,5.6226,0.0516
2197,Catamenia inornata,female,5.3438,0.0664
2198,Catamenia inornata,male,6.086,NA
2199,Catamenia inornata,unknown,4.8877,0.0463
2200,Cataponera turdoides,unknown,5.2869,0.0515
2201,Catharopeza bishopi,unknown,5.4328,0.0646
2202,Cathartes aura,unknown,4.914,0.0625
2203,Cathartes burrovianus,unknown,5.4766,0.0668
2204,Cathartes melambrotus,unknown,5.5553,0.0554
2205,Catharus aurantiirostris,unknown,5.8637,0.0519
2206,Catharus bicknelli,unknown,4.969,0.0523
2207,Catharus dryas,unknown,6.3364,0.0638
2208,Catharus frantzii,unknown,5.7318,0.0605
2209,Catharus fuscater,unknown,5.5285,0.06
2210,Catharus fuscescens,unknown,5.3266,0.0733
2211,Catharus gracilirostris,unknown,6.0137,0.0598
2212,Catharus guttatus,unknown,5.2423,0.0609
2213,Catharus mexicanus,male,6.0728,0.0518
2214,Catharus mexicanus,unknown,6.115,0.0608
2215,Catharus minimus,unknown,5.0383,0.0656
2216,Catharus occidentalis,unknown,4.9237,0.0598
2217,Catharus ustulatus,unknown,5.1065,0.055
2218,Catherpes mexicanus,female,6.2,0.031
2219,Catherpes mexicanus,unknown,5.5465,0.0502
2220,Catreus wallichii,male,5.8371,0.0409
2221,Catreus wallichii,unknown,5.3827,0.0714
2222,Cecropis abyssinica,male,5.6615,0.0309
2223,Cecropis abyssinica,unknown,6.1714,0.0885
2224,Cecropis badia,unknown,5.6019,0.0562
2225,Cecropis cucullata,unknown,6.3013,0.0597
2226,Cecropis daurica,unknown,5.2155,0.0481
2227,Cecropis hyperythra,unknown,6.1528,0.0578
2228,Cecropis semirufa,unknown,6.1274,0.0611
2229,Cecropis senegalensis,unknown,6.5719,0.0708
2230,Cecropis striolata,unknown,5.7979,0.057
2231,Celebesia abbotti,male,5.921,0.0541
2232,Celebesia abbotti,unknown,5.3556,0.0827
2233,Celebesia parvula,unknown,5.3214,0.0512
2234,Celeus castaneus,female,6.1033,0.0638
2235,Celeus castaneus,unknown,6.6716,0.0853
2236,Celeus elegans,male,6.5333,0.0606
2237,Celeus elegans,unknown,6.6341,0.083
2238,Celeus flavescens,female,6.3198,0.0842
2239,Celeus flavescens,male,7.4476,0.0844
2240,Celeus flavescens,unknown,7.1247,0.0996
2241,Celeus flavus,male,6.9508,0.0596
2242,Celeus flavus,unknown,6.7131,0.1038
2243,Celeus galeatus,female,6.472,0.0766
2244,Celeus galeatus,male,6.954,0.0873
2245,Celeus galeatus,unknown,7.5054,0.057
2246,Celeus grammicus,male,5.7363,0.035
2247,Celeus grammicus,unknown,6.2968,0.0613
2248,Celeus loricatus,male,6.0283,0.031
2249,Celeus loricatus,unknown,6.8395,0.0774
2250,Celeus lugubris,male,6.3135,0.0788
2251,Celeus lugubris,unknown,5.9651,0.0566
2252,Celeus obrieni,male,7.0394,0.0756
2253,Celeus obrieni,unknown,7.1959,0.0955
2254,Celeus ochraceus,female,6.7853,0.0673
2255,Celeus ochraceus,male,6.3946,0.0406
2256,Celeus ochraceus,unknown,6.3716,0.0667
2257,Celeus spectabilis,female,6.7189,0.0673
2258,Celeus spectabilis,male,6.3763,0.0588
2259,Celeus spectabilis,unknown,7.1805,0.0897
2260,Celeus torquatus,female,6.3692,0.0597
2261,Celeus torquatus,male,6.0275,0.0757
2262,Celeus torquatus,unknown,6.5112,0.0498
2263,Celeus undatus,female,6.094,0.0739
2264,Celeus undatus,male,6.7631,0.0464
2265,Celeus undatus,unknown,6.8323,0.0752
2266,Centrocercus minimus,unknown,4.6542,0.0646
2267,Centrocercus urophasianus,unknown,5.7697,0.0616
2268,Centronyx bairdii,male,5.1016,0.0626
2269,Centronyx bairdii,unknown,5.5118,0.0381
2270,Centronyx henslowii,unknown,5.5779,0.0619
2271,Centropus andamanensis,unknown,5.2307,0.0467
2272,Centropus anselli,unknown,5.8931,0.0671
2273,Centropus ateralbus,unknown,5.4048,0.0553
2274,Centropus bengalensis,unknown,6.0246,0.0648
2275,Centropus bernsteini,unknown,5.408,0.0502
2276,Centropus celebensis,unknown,4.9555,0.0603
2277,Centropus chalybeus,unknown,5.3676,0.0519
2278,Centropus chlororhynchos,unknown,5.2609,0.0534
2279,Centropus cupreicaudus,unknown,5.8809,0.0553
2280,Centropus goliath,unknown,5.4266,0.0445
2281,Centropus grillii,unknown,5.6696,0.0467
2282,Centropus leucogaster,unknown,5.3332,0.051
2283,Centropus melanops,unknown,5.8433,0.0581
2284,Centropus menbeki,male,5.0766,0.0644
2285,Centropus menbeki,unknown,6.053,0.051
2286,Centropus milo,unknown,5.6666,0.0527
2287,Centropus monachus,unknown,6.1285,0.0569
2288,Centropus nigrorufus,unknown,5.2012,0.0557
2289,Centropus phasianinus,unknown,6.1259,0.0747
2290,Centropus rectunguis,unknown,5.7511,0.0556
2291,Centropus senegalensis,unknown,5.9194,0.0681
2292,Centropus sinensis,unknown,5.8578,0.0547
2293,Centropus steerii,unknown,4.8957,0.0626
2294,Centropus superciliosus,unknown,6.3511,0.081
2295,Centropus toulou,unknown,5.4574,0.0508
2296,Centropus unirufus,unknown,5.2403,0.0505
2297,Centropus violaceus,unknown,5.3575,0.056
2298,Centropus viridis,unknown,5.4822,0.046
2299,Cephalopterus glabricollis,male,6.7046,0.0821
2300,Cephalopterus glabricollis,unknown,6.1903,0.0526
2301,Cephalopterus ornatus,male,5.9598,0.0644
2302,Cephalopterus ornatus,unknown,5.906,0.0599
2303,Cephalopterus penduliger,female,6.472,0.0135
2304,Cephalopterus penduliger,male,6.0246,0.0577
2305,Cephalopterus penduliger,unknown,6.3448,0.0561
2306,Cephalopyrus flammiceps,male,6.254,0.0538
2307,Cephalopyrus flammiceps,unknown,5.7929,0.0469
2308,Cepphus carbo,unknown,6.7075,0.0599
2309,Cepphus columba,unknown,5.9852,0.0549
2310,Cepphus grylle,unknown,5.9893,0.051
2311,Ceratogymna atrata,male,5.9684,0.0437
2312,Ceratogymna atrata,unknown,5.9774,0.0592
2313,Ceratogymna elata,male,5.8521,0.0574
2314,Ceratogymna elata,unknown,5.1807,0.0589
2315,Ceratopipra chloromeros,unknown,6.6724,0.0707
2316,Ceratopipra cornuta,male,6.7083,0.0727
2317,Ceratopipra cornuta,unknown,6.5856,0.0741
2318,Ceratopipra erythrocephala,male,7.2003,0.1307
2319,Ceratopipra erythrocephala,unknown,6.9048,0.1727
2320,Ceratopipra mentalis,unknown,6.7435,0.0807
2321,Ceratopipra rubrocapilla,male,6.5407,0.1003
2322,Ceratopipra rubrocapilla,unknown,6.7611,0.0859
2323,Cercibis oxycerca,unknown,5.0957,0.0562
2324,Cercococcyx mechowi,unknown,5.1685,0.0574
2325,Cercococcyx montanus,unknown,5.2078,0.0595
2326,Cercococcyx olivinus,unknown,5.4888,0.056
2327,Cercomacra brasiliana,male,5.9303,0.0558
2328,Cercomacra brasiliana,unknown,5.8489,0.0796
2329,Cercomacra carbonaria,male,5.7678,0.0527
2330,Cercomacra carbonaria,unknown,6.1778,0.049
2331,Cercomacra cinerascens,unknown,5.2092,0.0763
2332,Cercomacra ferdinandi,male,5.6669,0.0637
2333,Cercomacra ferdinandi,unknown,5.6327,0.0686
2334,Cercomacra manu,female,5.194,NA
2335,Cercomacra manu,male,5.02,0.0177
2336,Cercomacra manu,unknown,5.1692,0.0567
2337,Cercomacra melanaria,female,5.1127,0.035
2338,Cercomacra melanaria,male,6.4786,0.0362
2339,Cercomacra melanaria,unknown,5.7056,0.0464
2340,Cercomacra nigricans,female,5.563,0.0772
2341,Cercomacra nigricans,male,5.4713,0.0404
2342,Cercomacra nigricans,unknown,5.6852,0.0423
2343,Cercomacroides fuscicauda,female,5.392,0.0648
2344,Cercomacroides fuscicauda,unknown,5.5346,0.0602
2345,Cercomacroides laeta,male,5.8029,0.0659
2346,Cercomacroides laeta,unknown,5.242,0.0538
2347,Cercomacroides nigrescens,female,5.7996,0.0592
2348,Cercomacroides nigrescens,male,5.0542,0.0528
2349,Cercomacroides nigrescens,unknown,5.5153,0.0494
2350,Cercomacroides parkeri,female,5.8778,0.0632
2351,Cercomacroides parkeri,male,5.0733,0.06
2352,Cercomacroides parkeri,unknown,5.4384,0.0705
2353,Cercomacroides serva,female,4.8707,0.0359
2354,Cercomacroides serva,unknown,5.5115,0.045
2355,Cercomacroides tyrannina,female,5.7806,0.062
2356,Cercomacroides tyrannina,male,5.2511,0.0437
2357,Cercomacroides tyrannina,unknown,6.1534,0.0956
2358,Cercotrichas barbata,unknown,5.8623,0.0507
2359,Cercotrichas coryphoeus,unknown,5.3272,0.0597
2360,Cercotrichas galactotes,male,5.7847,0.0646
2361,Cercotrichas galactotes,unknown,5.8158,0.0685
2362,Cercotrichas hartlaubi,unknown,5.613,0.044
2363,Cercotrichas leucophrys,unknown,5.8844,0.0519
2364,Cercotrichas leucosticta,unknown,5.5774,0.0698
2365,Cercotrichas paena,unknown,6.0299,0.0582
2366,Cercotrichas podobe,unknown,6.324,0.0706
2367,Cercotrichas quadrivirgata,unknown,5.834,0.0538
2368,Cercotrichas signata,unknown,5.1338,0.0565
2369,Cereopsis novaehollandiae,unknown,5.5537,0.0554
2370,Cerorhinca monocerata,unknown,4.7001,0.0569
2371,Certhia americana,male,5.5767,0.021
2372,Certhia americana,unknown,5.9257,0.0621
2373,Certhia brachydactyla,male,6.3091,0.0629
2374,Certhia brachydactyla,unknown,5.8542,0.0726
2375,Certhia discolor,unknown,5.5811,0.068
2376,Certhia familiaris,unknown,5.8252,0.0561
2377,Certhia himalayana,unknown,5.6139,0.0516
2378,Certhia hodgsoni,unknown,5.992,0.0539
2379,Certhia manipurensis,unknown,5.1316,0.0444
2380,Certhia nipalensis,unknown,6.0722,0.0658
2381,Certhia tianquanensis,unknown,5.6508,0.0638
2382,Certhiasomus stictolaemus,unknown,5.1525,0.0622
2383,Certhiaxis cinnamomeus,unknown,5.2742,0.0567
2384,Certhiaxis mustelinus,unknown,6.5055,0.0821
2385,Certhidea fusca,unknown,5.8341,0.0612
2386,Certhidea olivacea,unknown,5.2289,0.0431
2387,Certhilauda benguelensis,unknown,4.8141,0.0648
2388,Certhilauda brevirostris,male,4.4894,0.0734
2389,Certhilauda brevirostris,unknown,5.1927,0.0579
2390,Certhilauda chuana,unknown,5.1431,0.0442
2391,Certhilauda curvirostris,unknown,4.6733,0.0872
2392,Certhilauda semitorquata,unknown,4.927,0.0573
2393,Certhilauda subcoronata,unknown,4.5964,0.0559
2394,Certhionyx variegatus,male,5.4762,0.0519
2395,Certhionyx variegatus,unknown,5.4707,0.0558
2396,Ceryle rudis,unknown,6.929,0.1052
2397,Cettia brunnifrons,male,5.8379,0.0474
2398,Cettia brunnifrons,unknown,5.9071,0.0508
2399,Cettia castaneocoronata,unknown,6.8779,0.0728
2400,Cettia cetti,male,5.4893,0.0655
2401,Cettia cetti,unknown,5.9664,0.0666
2402,Cettia major,male,5.8133,0.0597
2403,Cettia major,unknown,4.9849,0.0717
2404,Ceuthmochares aereus,unknown,5.9162,0.0613
2405,Ceuthmochares australis,unknown,5.8908,0.0549
2406,Ceyx argentatus,unknown,6.6323,0.0908
2407,Ceyx azureus,unknown,7.7918,0.1089
2408,Ceyx cajeli,unknown,7.0001,0.1004
2409,Ceyx collectoris,unknown,7.26,0.0923
2410,Ceyx cyanopectus,unknown,7.4002,0.1037
2411,Ceyx erithaca,unknown,8.2077,0.1364
2412,Ceyx fallax,unknown,7.35,0.1032
2413,Ceyx flumenicola,unknown,7.097,0.1021
2414,Ceyx gentianus,unknown,7.2058,0.0892
2415,Ceyx lepidus,unknown,7.3416,0.0887
2416,Ceyx malaitae,unknown,6.8277,0.0768
2417,Ceyx margarethae,unknown,7.5225,0.1344
2418,Ceyx meeki,unknown,6.7909,0.0944
2419,Ceyx melanurus,unknown,6.925,0.092
2420,Ceyx pusillus,unknown,7.6993,0.1223
2421,Ceyx rufidorsa,unknown,7.6659,0.1172
2422,Ceyx sacerdotis,unknown,6.6546,0.0685
2423,Ceyx solitarius,unknown,7.7076,0.1167
2424,Ceyx uropygialis,unknown,7.5401,0.1481
2425,Ceyx wallacii,unknown,7.5322,0.1506
2426,Ceyx websteri,unknown,6.0333,0.0576
2427,Chaetocercus astreans,female,6.885,0.1042
2428,Chaetocercus astreans,unknown,7.1796,0.1302
2429,Chaetocercus berlepschi,unknown,6.9287,0.0889
2430,Chaetocercus bombus,male,7.1633,0.0673
2431,Chaetocercus bombus,unknown,6.8499,0.1047
2432,Chaetocercus heliodor,female,7.5657,0.0902
2433,Chaetocercus heliodor,unknown,7.4601,0.1129
2434,Chaetocercus jourdanii,female,6.8717,0.0353
2435,Chaetocercus jourdanii,male,6.9582,0.0863
2436,Chaetocercus jourdanii,unknown,6.9888,0.0994
2437,Chaetocercus mulsant,female,7.226,0.0415
2438,Chaetocercus mulsant,male,6.3228,0.0146
2439,Chaetocercus mulsant,unknown,7.5887,0.1207
2440,Chaetops aurantius,male,6.4856,0.0754
2441,Chaetops aurantius,unknown,6.2125,0.0576
2442,Chaetops frenatus,male,6.0021,0.0634
2443,Chaetops frenatus,unknown,5.8814,0.0539
2444,Chaetorhynchus papuensis,male,6.32,0.0761
2445,Chaetorhynchus papuensis,unknown,5.1536,0.0545
2446,Chaetornis striata,male,5.024,NA
2447,Chaetornis striata,unknown,5.1955,0.0598
2448,Chaetura brachyura,unknown,5.0305,0.062
2449,Chaetura chapmani,unknown,4.5525,0.0727
2450,Chaetura cinereiventris,unknown,5.093,0.0545
2451,Chaetura egregia,unknown,5.0831,0.058
2452,Chaetura fumosa,unknown,4.9762,0.054
2453,Chaetura martinica,unknown,4.9282,0.0645
2454,Chaetura meridionalis,unknown,5.3908,0.053
2455,Chaetura pelagica,unknown,5.7089,0.0616
2456,Chaetura spinicaudus,unknown,5.4714,0.0566
2457,Chaetura vauxi,unknown,5.4544,0.0571
2458,Chaetura viridipennis,unknown,4.6391,0.072
2459,Chalcomitra adelberti,female,5.0548,0.055
2460,Chalcomitra adelberti,unknown,6.4826,0.076
2461,Chalcomitra amethystina,female,5.6771,0.03
2462,Chalcomitra amethystina,male,5.895,0.0509
2463,Chalcomitra amethystina,unknown,6.0203,0.0701
2464,Chalcomitra balfouri,unknown,5.351,0.0495
2465,Chalcomitra fuliginosa,unknown,5.7471,0.0536
2466,Chalcomitra hunteri,female,5.6939,0.0531
2467,Chalcomitra hunteri,unknown,6.7304,0.0714
2468,Chalcomitra rubescens,male,6.1443,0.0715
2469,Chalcomitra rubescens,unknown,6.764,0.0857
2470,Chalcomitra senegalensis,female,5.8833,0.0047
2471,Chalcomitra senegalensis,male,6.5208,0.0647
2472,Chalcomitra senegalensis,unknown,6.4638,0.0596
2473,Chalcoparia singalensis,female,5.8257,0.0346
2474,Chalcoparia singalensis,male,6.7563,0.0705
2475,Chalcoparia singalensis,unknown,7.2769,0.1423
2476,Chalcophaps indica,male,6.2217,0.0613
2477,Chalcophaps indica,unknown,6.6904,0.0887
2478,Chalcophaps longirostris,unknown,5.8618,0.0545
2479,Chalcophaps stephani,unknown,5.5787,0.0592
2480,Chalcopsitta atra,unknown,5.725,0.0642
2481,Chalcopsitta cardinalis,unknown,6.9814,0.0884
2482,Chalcopsitta duivenbodei,unknown,5.3761,0.0531
2483,Chalcopsitta scintillata,unknown,6.0708,0.0647
2484,Chalcostigma herrani,female,6.711,NA
2485,Chalcostigma herrani,male,6.7251,0.0586
2486,Chalcostigma herrani,unknown,6.625,0.072
2487,Chalcostigma heteropogon,male,6.8025,0.0635
2488,Chalcostigma heteropogon,unknown,7.3121,0.0842
2489,Chalcostigma olivaceum,unknown,5.6607,0.0567
2490,Chalcostigma ruficeps,male,6.5986,0.0823
2491,Chalcostigma ruficeps,unknown,6.2351,0.0727
2492,Chalcostigma stanleyi,unknown,6.2268,0.0695
2493,Chalcothraupis ruficervix,unknown,7.5581,0.1156
2494,Chalybura buffonii,male,6.9992,0.0881
2495,Chalybura buffonii,unknown,6.6534,0.065
2496,Chalybura urochrysia,male,6.9227,0.0829
2497,Chalybura urochrysia,unknown,6.8575,0.0671
2498,Chamaea fasciata,unknown,5.7734,0.0719
2499,Chamaepetes goudotii,unknown,5.7821,0.0585
2500,Chamaepetes unicolor,unknown,5.759,0.0578
2501,Chamaetylas choloensis,unknown,5.9121,0.0704
2502,Chamaetylas fuelleborni,unknown,5.965,0.0488
2503,Chamaetylas poliocephala,unknown,5.4386,0.0575
2504,Chamaetylas poliophrys,unknown,5.4613,0.0476
2505,Chamaeza campanisona,unknown,5.6402,0.0475
2506,Chamaeza meruloides,unknown,5.3367,0.0661
2507,Chamaeza mollissima,unknown,4.8592,0.0641
2508,Chamaeza nobilis,male,5.0707,0.055
2509,Chamaeza nobilis,unknown,4.955,0.0588
